Time,VbattRaw,IbattRaw,Vbatt,Ibatt,V3v3,I3v3,V5v0,I5v0,T3v3,T5v0,Free Memory,Free Disk Space,CPU Temperature,TMP102 Temperature,BME680 Temperature,BME680 Pressure
1722481600.1797438,10.857747395833334,0.28567880859374994,10.869140625,0.26614521484375,3.3292616282077816,0.05066171264648437,5.071381718279367,0.23013015136718748,29.781985572916255,31.75777451609315,135.4609375,54171.9921875,54.768,22.8125,23.09,983.04
1722481605.2520635,10.857747395833334,0.29971857910156247,10.857747395833334,0.31803132324218747,3.3243990260244205,0.051272094726562495,5.078727997929217,0.2197529296875,29.990084942916155,31.653849922918425,133.1953125,54171.8203125,54.768,22.8125,23.09,983.07
1722481610.3217866,10.85205078125,0.28567880859374994,10.857747395833334,0.29239348144531246,3.3341242303911423,0.05249285888671874,5.073830478162651,0.19777763671874998,29.938062785700822,31.6018849504444,131.1875,54171.91796875,54.768,22.8125,23.09,983.07
1722481615.3924758,10.863444010416668,0.2899517822265625,10.85205078125,0.29849772949218745,3.326019893418874,0.051272094726562495,5.086074277579066,0.19716721191406247,29.365700871273475,31.653849922918425,130.85546875,54171.73046875,55.844,22.8125,23.1,983.08
1722481620.465232,10.85205078125,0.28751008300781244,10.874837239583334,0.30704367675781247,3.3292616282077816,0.04822018432617187,5.076279238045934,0.24905332031249997,29.990084942916155,31.445979327269242,130.93359375,54171.50390625,55.306,22.8125,23.1,983.07
1722481625.536899,10.857747395833334,0.2881205078125,10.85205078125,0.30765410156249995,3.3292616282077816,0.054324005126953116,5.0689329583960845,0.21914250488281248,29.8860388384187,31.6018849504444,130.19921875,54171.30078125,55.306,22.8125,23.1,983.07
1722481630.614109,10.846354166666668,0.29117263183593745,10.857747395833334,0.27041818847656246,3.3243990260244205,0.05798629760742187,5.078727997929217,0.22646760253906248,29.990084942916155,31.549918193800522,130.015625,54171.18359375,54.768,22.8125,23.1,983.07
1722481635.6999717,10.85205078125,0.30032900390624995,10.857747395833334,0.35404638671874994,3.317915556446606,0.05310324096679687,5.078727997929217,0.24600119628906247,29.729956254325998,31.497949652803527,129.6015625,54171.00390625,56.382,22.8125,23.11,983.05
1722481640.7664237,10.863444010416668,0.29483518066406245,10.857747395833334,0.26614521484375,3.3292616282077816,0.05249285888671874,5.078727997929217,0.20876528320312498,29.625892244543365,31.6018849504444,126.9140625,54170.83984375,55.306,22.8125,23.11,983.03
1722481645.840927,10.863444010416668,0.263703515625,10.863444010416668,0.30704367675781247,3.3292616282077816,0.056155151367187496,5.076279238045934,0.19045253906249998,29.729956254325998,31.497949652803527,124.79296875,54170.66015625,55.306,22.8125,23.11,983.04
1722481650.9137335,10.846354166666668,0.33939619140625,10.8349609375,0.32901896972656247,3.3211572912355134,0.05066171264648437,5.071381718279367,0.2569888427734375,29.938062785700822,31.549918193800522,115.109375,54170.58203125,56.92,22.8125,23.12,983.03
1722481655.985311,10.846354166666668,0.29849772949218745,10.869140625,0.29483518066406245,3.326019893418874,0.05310324096679687,5.076279238045934,0.19289423828125,29.990084942916155,31.445979327269242,118.90625,54170.4140625,55.844,22.8125,23.12,983.02
1722481661.0552995,10.869140625,0.27224946289062496,10.863444010416668,0.27774328613281246,3.317915556446606,0.05676553344726562,5.0811767578125,0.19899848632812497,29.781985572916255,31.549918193800522,117.10546875,54170.1953125,55.844,22.75,23.12,983.02
1722481666.1267965,10.846354166666668,0.3339023681640625,10.85205078125,0.2881205078125,3.326019893418874,0.05066171264648437,5.083625517695784,0.2020506103515625,29.573857552980826,31.6018849504444,116.4453125,54169.984375,55.844,22.8125,23.12,983.02
1722481671.2013128,10.8349609375,0.37113828125,10.840657552083334,0.34977341308593746,3.3243990260244205,0.05188247680664062,5.0689329583960845,0.27102861328125,29.781985572916255,31.653849922918425,115.80859375,54169.859375,55.844,22.75,23.12,983.01
